,UID,tYear,AADT,ESAL,pTrucks,SingleTrucks,DoubleTrucks,TrainTrucks,Unnamed: 0,sYear,IntID,Rutting,IRI,PSC,PPC,PRC,Alli,Long,SR,Begin ARM,End ARM,Is Bridge,Lane Surface Type,Lane Miles,Region_x,Federal Functional Class,Construction End Date,Substantial Completion Date,Contract Type Description,Surface Type Code,Surface Type Description,Surface Thickness,Treat Base Type Code,Treat Base Type Description,Treat Base Thickness,UTreat Base Thickness,cYear,Traffic Year,ESALs,Construction Year,Major Rehab Year,Segment Lane Miles,ESALs Since Major Rehab,Total Thickness,Total Surface Thickness,Listed Surface Type,Pavement Type,Construction Pavement Type,Major Rehab Type,Prior Major Rehab Year,Prior Major Rehab Type,sfThick,Tthick,TSfThick,STcode,cumPPT,meanMinTemp,meanMaxTemp,cumESALs,cumFTC
11607,14692.0,2010,2661,48636,14.1,209,144,21,366258.0,2010.0,19972.0,0.2,129.75,89.0,74.0,83.0,,79.0,14.0,47.32,47.42,0.0,ACP,0.2,Southwest,Rural Other Principal Arterial,4/24/1995 0:00:00,9/23/1994 0:00:00,RECONSTR EXISTING ALIGN,AA,ACP CLASS A AR4000W,0.4,0.0,,0.0,0.85,1995.0,2013.0,77065.0,1994.0,2001.0,0.26,875420.0,1.4,0.55,ACP,ACP,ACP,ACP,1994.0,ACP,0.4,1.4,0.55,Other,15129.7301025,-0.0870000056924,27.9669998169,873189.904968,161.0
11623,14881.0,2010,6352,109719,12.31,339,411,32,366135.0,2010.0,18975.0,0.221,127.7,95.0,75.0,81.0,,28.0,14.0,66.28,66.38,0.0,ACP,0.2,Southwest,Rural Other Principal Arterial,1/1/1951 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.17,0.0,,0.0,0.0,1951.0,2013.0,125468.0,1923.0,2004.0,0.38,904928.0,1.26,0.68,ACP,ACP over BST (Mixed),Unknown,ACP,1964.0,ACP,0.17,1.26,0.68,BA,5205.7300415,-2.2071428597,29.1871427808,961533.236972,119.0
11625,14882.0,2010,5195,91506,12.29,265,345,28,366310.0,2010.0,20248.0,0.292,106.8,98.0,80.0,73.0,,8.0,14.0,66.38,66.48,0.0,ACP,0.2,Southwest,Rural Other Principal Arterial,10/31/2004 0:00:00,,RESURFACE EXISTING RDWY,G2,ACP CLASS 1/2IN PG64-28,0.15,0.0,,0.0,0.0,2004.0,2013.0,97838.0,1923.0,2004.0,0.24,749740.0,1.51,0.93,ACP,ACP over BST (Mixed),Unknown,ACP,1979.0,ACP,0.15,1.51,0.93,Other,5205.7300415,-2.2071428597,29.1871427808,749788.701812,119.0
11678,14658.0,2011,5532,108533,14.48,407,344,50,383454.0,2011.0,20954.0,0.183,115.692,82.0,78.0,85.0,14.0,154.0,14.0,43.94,44.04,0.0,ACP,0.2,Southwest,Rural Other Principal Arterial,3/2/1999 0:00:00,10/16/1998 0:00:00,RESURFACE EXISTING RDWY,AA,ACP CLASS A AR4000W,0.15,0.0,,0.0,0.0,1999.0,2013.0,78852.0,1950.0,1998.0,0.46,1343994.0,1.38,0.55,ACP,ACP,ACP,ACP,1978.0,ACP,0.15,1.38,0.55,Other,26644.9400635,-0.289999992188,27.3449999946,1256075.90837,190.0
11696,14881.0,2011,6218,107821,12.31,331,402,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11698,14882.0,2011,5093,88969,12.29,260,339,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11743,14658.0,2012,5200,101981,14.48,383,323,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11757,14881.0,2012,5844,101342,12.31,311,378,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11759,14882.0,2012,4844,85173,12.29,248,322,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11809,14658.0,2013,5058,75701,9.44,172,248,57,411310.0,2013.0,20954.0,0.191,134.742,78.0,73.0,84.0,41.0,156.0,14.0,43.94,44.04,0.0,ACP,0.2,Southwest,Rural Other Principal Arterial,3/2/1999 0:00:00,10/16/1998 0:00:00,RESURFACE EXISTING RDWY,AA,ACP CLASS A AR4000W,0.15,0.0,,0.0,0.0,1999.0,2013.0,78852.0,1950.0,1998.0,0.46,1343994.0,1.38,0.55,ACP,ACP,ACP,ACP,1978.0,ACP,0.15,1.38,0.55,Other,30734.5200195,-0.362499989569,27.4287500382,1420474.04928,210.0
