,UID,tYear,AADT,ESAL,pTrucks,SingleTrucks,DoubleTrucks,TrainTrucks,Unnamed: 0,sYear,IntID,Rutting,IRI,PSC,PPC,PRC,Alli,Long,SR,Begin ARM,End ARM,Is Bridge,Lane Surface Type,Lane Miles,Region_x,Federal Functional Class,Construction End Date,Substantial Completion Date,Contract Type Description,Surface Type Code,Surface Type Description,Surface Thickness,Treat Base Type Code,Treat Base Type Description,Treat Base Thickness,UTreat Base Thickness,cYear,Traffic Year,ESALs,Construction Year,Major Rehab Year,Segment Lane Miles,ESALs Since Major Rehab,Total Thickness,Total Surface Thickness,Listed Surface Type,Pavement Type,Construction Pavement Type,Major Rehab Type,Prior Major Rehab Year,Prior Major Rehab Type,sfThick,Tthick,TSfThick,STcode,cumPPT,meanMinTemp,meanMaxTemp,cumESALs,cumFTC
31493,48499.0,2007,8016,65700,7.87,461,163,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31494,48500.0,2007,8095,66503,7.87,465,164,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31495,48501.0,2007,8174,67160,7.87,470,166,7,319869.0,2007.0,60837.0,0.119,121.186,85.0,77.0,91.0,,79.0,150.0,7.84,7.9,0.0,ACP,0.18,North Central,Urban Major Collector,9/1/1979 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.4,0.2,1979.0,2013.0,52542.0,1979.0,2000.0,0.18,668815.0,0.9,0.3,ACP,ACP,ACP,ACP,1979.0,ACP,0.25,0.9,0.3,BA,2146.42997742,-4.70000001788,30.8312499523,383401.046785,248.0
31503,48481.0,2008,9053,91633,10.56,774,167,14,337052.0,2008.0,60814.0,0.215,102.54,93.0,81.0,82.0,,46.0,150.0,5.85,5.95,0.0,ACP,0.2,North Central,Urban Major Collector,9/11/2001 0:00:00,,RECONSTR EXISTING ALIGN,D5,ACP CLASS A PG58-34,0.35,0.0,,0.0,1.15,2001.0,2013.0,84589.0,1927.0,2001.0,0.14,908754.0,0.98,0.65,ACP,ACP over BST (Mixed),ACP,ACP,1989.0,ACP,0.35,0.98,0.65,Other,2252.64997864,-6.21749997139,29.2537498474,623575.471501,288.0
31509,48495.0,2008,9567,96944,10.56,818,177,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31512,48499.0,2008,8173,83165,10.56,699,151,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31513,48500.0,2008,8254,83749,10.56,706,153,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31514,48501.0,2008,8334,84552,10.56,713,154,13,337058.0,2008.0,60837.0,0.145,88.098,88.0,84.0,88.0,,44.0,150.0,7.84,7.9,0.0,ACP,0.18,North Central,Urban Major Collector,9/1/1979 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.4,0.2,1979.0,2013.0,52542.0,1979.0,2000.0,0.18,668815.0,0.9,0.3,ACP,ACP,ACP,ACP,1979.0,ACP,0.25,0.9,0.3,BA,2343.00997925,-5.08777774705,30.6688889397,432180.386059,289.0
31522,48481.0,2009,9249,93531,10.56,791,171,15,354870.0,2009.0,60814.0,0.273,101.44,96.0,81.0,76.0,,17.0,150.0,5.85,5.95,0.0,ACP,0.2,North Central,Urban Major Collector,9/11/2001 0:00:00,,RECONSTR EXISTING ALIGN,D5,ACP CLASS A PG58-34,0.35,0.0,,0.0,1.15,2001.0,2013.0,84589.0,1927.0,2001.0,0.14,908754.0,0.98,0.65,ACP,ACP over BST (Mixed),ACP,ACP,1989.0,ACP,0.35,0.98,0.65,Other,2478.46998596,-6.37555551529,29.2233331468,703454.953389,325.0
31528,48495.0,2009,9774,98988,10.56,836,181,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31531,48499.0,2009,8350,50790,6.05,392,104,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31532,48500.0,2009,8432,51447,6.05,395,105,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31533,48501.0,2009,8514,51739,6.05,399,106,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31537,48425.0,2010,5122,22630,5.03,221,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31541,48481.0,2010,9467,96360,10.56,809,175,15,373291.0,2010.0,60814.0,0.309,104.65,83.0,81.0,72.0,,170.0,150.0,5.85,5.95,0.0,ACP,0.2,North Central,Urban Major Collector,9/11/2001 0:00:00,,RECONSTR EXISTING ALIGN,D5,ACP CLASS A PG58-34,0.35,0.0,,0.0,1.15,2001.0,2013.0,84589.0,1927.0,2001.0,0.14,908754.0,0.98,0.65,ACP,ACP over BST (Mixed),ACP,ACP,1989.0,ACP,0.35,0.98,0.65,Other,2954.91999817,-6.11499996185,29.0489997864,783929.89531,364.0
31547,48495.0,2010,10005,101543,10.56,855,185,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31550,48499.0,2010,8547,51739,6.05,401,107,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31551,48500.0,2010,8631,52396,6.05,405,108,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31552,48501.0,2010,8715,52688,6.05,409,109,10,373298.0,2010.0,60837.0,0.16,118.5,78.0,77.0,87.0,,142.0,150.0,7.84,7.9,0.0,ACP,0.18,North Central,Urban Major Collector,9/1/1979 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.4,0.2,1979.0,2013.0,52542.0,1979.0,2000.0,0.18,668815.0,0.9,0.3,ACP,ACP,ACP,ACP,1979.0,ACP,0.25,0.9,0.3,BA,2982.29997253,-4.97636361556,30.5590910478,531783.669415,365.0
31556,48425.0,2011,4805,26809,5.78,226,45,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31561,48445.0,2011,6741,54896,8.86,502,86,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31563,48469.0,2011,6508,53217,8.86,485,83,8,387954.0,2011.0,60852.0,0.247,85.337,80.0,85.0,78.0,,178.0,150.0,4.6,4.7,0.0,ACP,0.2,North Central,Urban Major Collector,9/6/2000 0:00:00,,RESURFACE EXISTING RDWY,D5,ACP CLASS A PG58-34,0.15,0.0,,0.0,0.0,2000.0,2013.0,54163.0,1938.0,2000.0,0.44,654917.0,1.15,0.65,ACP,ACP over BST (Mixed),ACP,ACP,1989.0,ACP,0.15,1.15,0.65,Other,3289.98997498,-5.96666665872,30.4825000763,599361.856693,391.0
31567,48481.0,2011,8595,86888,10.56,735,159,14,387942.0,2011.0,60814.0,0.32,102.0,94.0,81.0,70.0,,38.0,150.0,5.85,5.95,0.0,ACP,0.2,North Central,Urban Major Collector,9/11/2001 0:00:00,,RECONSTR EXISTING ALIGN,D5,ACP CLASS A PG58-34,0.35,0.0,,0.0,1.15,2001.0,2013.0,84589.0,1927.0,2001.0,0.14,908754.0,0.98,0.65,ACP,ACP over BST (Mixed),ACP,ACP,1989.0,ACP,0.35,0.98,0.65,Other,3287.94999695,-6.08727268739,28.9618180015,863847.483632,390.0
31573,48495.0,2011,9753,98842,10.56,834,180,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31576,48499.0,2011,8486,51593,6.05,398,106,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31577,48500.0,2011,8570,52250,6.05,402,107,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31578,48501.0,2011,8653,52542,6.05,406,108,10,387949.0,2011.0,60837.0,0.135,141.75,91.0,71.0,89.0,,17.1,150.0,7.84,7.9,0.0,ACP,0.18,North Central,Urban Major Collector,9/1/1979 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.4,0.2,1979.0,2013.0,52542.0,1979.0,2000.0,0.18,668815.0,0.9,0.3,ACP,ACP,ACP,ACP,1979.0,ACP,0.25,0.9,0.3,BA,3292.79997253,-4.93833331267,30.4725001653,581424.047308,391.0
31582,48425.0,2012,4759,26298,5.78,224,45,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31587,48445.0,2012,6676,54604,8.86,497,85,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31589,48469.0,2012,6446,52560,8.86,480,83,8,401763.0,2012.0,60852.0,0.231,83.414,72.0,85.0,80.0,,319.0,150.0,4.6,4.7,0.0,ACP,0.2,North Central,Urban Major Collector,9/6/2000 0:00:00,,RESURFACE EXISTING RDWY,D5,ACP CLASS A PG58-34,0.15,0.0,,0.0,0.0,2000.0,2013.0,54163.0,1938.0,2000.0,0.44,654917.0,1.15,0.65,ACP,ACP over BST (Mixed),ACP,ACP,1989.0,ACP,0.15,1.15,0.65,Other,3697.84996033,-5.99692307986,30.5307693481,650177.051108,435.0
31593,48481.0,2012,8512,86450,10.56,728,157,14,401751.0,2012.0,60814.0,0.343,116.95,91.0,78.0,68.0,,67.9,150.0,5.85,5.95,0.0,ACP,0.2,North Central,Urban Major Collector,9/11/2001 0:00:00,,RECONSTR EXISTING ALIGN,D5,ACP CLASS A PG58-34,0.35,0.0,,0.0,1.15,2001.0,2013.0,84589.0,1927.0,2001.0,0.14,908754.0,0.98,0.65,ACP,ACP over BST (Mixed),ACP,ACP,1989.0,ACP,0.35,0.98,0.65,Other,3710.02000427,-6.08499995867,29.0166665713,943208.052293,434.0
31599,48499.0,2012,8405,51301,6.05,394,105,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31600,48500.0,2012,8488,51593,6.05,398,106,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31601,48501.0,2012,8570,52250,6.05,402,107,9,401758.0,2012.0,60837.0,0.109,109.4,91.0,79.0,92.0,,37.0,150.0,7.84,7.9,0.0,ACP,0.18,North Central,Urban Major Collector,9/1/1979 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.4,0.2,1979.0,2013.0,52542.0,1979.0,2000.0,0.18,668815.0,0.9,0.3,ACP,ACP,ACP,ACP,1979.0,ACP,0.25,0.9,0.3,BA,3680.60997009,-4.99307691134,30.5369231884,630718.435451,435.0
31605,48425.0,2013,4904,27101,5.78,231,46,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31610,48445.0,2013,6880,55991,8.86,513,88,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31612,48469.0,2013,6643,54312,8.86,495,85,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31616,48481.0,2013,8772,88786,10.56,750,162,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31626,48539.0,2004,2050,28141,10.77,138,64,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31630,48539.0,2005,2369,45680,14.36,181,133,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31634,48539.0,2006,2658,51483,14.36,203,149,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31637,48521.0,2007,3355,75865,19.93,448,198,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31640,48539.0,2007,2701,44950,14.18,261,96,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31643,48521.0,2008,3403,45406,14.6,421,67,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31646,48539.0,2008,2467,73402,25.38,439,135,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31649,48521.0,2009,3332,44676,14.6,413,65,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31652,48539.0,2009,2415,71449,25.38,429,133,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31655,48521.0,2010,3593,48381,14.6,445,70,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31658,48539.0,2010,2604,76887,25.38,463,143,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31661,48521.0,2011,3259,45698,14.8,396,78,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31664,48539.0,2011,2302,48417,15.04,183,125,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31669,48539.0,2012,2328,48563,15.04,185,127,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31674,48539.0,2013,2412,50881,15.04,191,131,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31839,49622.0,2004,4651,56046,11.11,394,89,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31841,49628.0,2004,6456,77325,11.11,547,124,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31842,49629.0,2004,3332,49658,11.2,234,85,55,273109.0,2004.0,61406.0,0.18,84.281,76.0,85.0,85.0,,279.0,155.0,78.08,78.18,0.0,ACP,0.2,North Central,Urban Minor Arterial,1/1/1964 0:00:00,,RECONSTR EXISTING ALIGN,TA,BST CLASS A CRS-2 TACK,0.02,0.0,,0.0,0.0,1964.0,2013.0,30939.0,1965.0,2014.0,0.22,0.0,1.05,0.55,ACP,ACP,ACP,ACP,1998.0,ACP,0.02,1.05,0.55,Other,1970.12001991,-7.98285695485,33.0628572192,107196.149484,169.0
31843,49630.0,2004,3807,56739,11.2,267,97,63,273247.0,2004.0,61969.0,0.204,98.099,71.0,82.0,83.0,,359.0,155.0,78.18,78.28,0.0,ACP,0.2,North Central,Urban Minor Arterial,9/1/1986 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.3,0.0,,0.0,0.0,1986.0,2013.0,33726.0,1965.0,2014.0,0.14,0.0,1.2,0.7,ACP,ACP,ACP,ACP,1998.0,ACP,0.3,1.2,0.7,BA,1970.12001991,-7.98285695485,33.0628572192,116852.430185,169.0
31844,49631.0,2004,4282,63966,11.2,300,109,71,273141.0,2004.0,61586.0,0.149,173.67,95.0,63.0,88.0,,11.0,155.0,78.28,78.35,0.0,ACP,0.14,North Central,Urban Minor Arterial,6/1/1965 0:00:00,,"CI, CO, FED ROAD PROJECT",TA,BST CLASS A CRS-2 TACK,0.02,0.0,,0.0,0.0,1965.0,2013.0,37490.0,1965.0,2014.0,0.16,0.0,1.43,0.51,ACP,ACP over BST (Mixed),BST,ACP,1998.0,ACP,0.02,1.43,0.51,Other,1970.12001991,-7.98285695485,33.0628572192,129893.779506,169.0
31857,49622.0,2005,4635,54896,11.11,393,89,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31859,49628.0,2005,6433,77179,11.11,546,124,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31860,49629.0,2005,3320,49512,11.2,233,84,55,288564.0,2005.0,61406.0,0.192,78.692,66.0,86.0,84.0,,475.0,155.0,78.08,78.18,0.0,ACP,0.2,North Central,Urban Minor Arterial,1/1/1964 0:00:00,,RECONSTR EXISTING ALIGN,TA,BST CLASS A CRS-2 TACK,0.02,0.0,,0.0,0.0,1964.0,2013.0,30939.0,1965.0,2014.0,0.22,0.0,1.05,0.55,ACP,ACP,ACP,ACP,1998.0,ACP,0.02,1.05,0.55,Other,2195.05001259,-7.90749984979,32.8800001145,125720.228062,188.0
31874,49622.0,2006,4629,54896,11.11,393,89,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31876,49628.0,2006,6425,77033,11.11,545,123,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31877,49629.0,2006,3316,49512,11.2,232,84,55,303831.0,2006.0,61406.0,0.21,79.012,67.0,86.0,82.0,,454.0,155.0,78.08,78.18,0.0,ACP,0.2,North Central,Urban Minor Arterial,1/1/1964 0:00:00,,RECONSTR EXISTING ALIGN,TA,BST CLASS A CRS-2 TACK,0.02,0.0,,0.0,0.0,1964.0,2013.0,30939.0,1965.0,2014.0,0.22,0.0,1.05,0.55,ACP,ACP,ACP,ACP,1998.0,ACP,0.02,1.05,0.55,Other,2445.52001381,-7.93555540509,32.7088890076,144954.769635,206.0
31891,49622.0,2007,4664,56192,11.11,396,90,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31893,49628.0,2007,6153,73694,11.11,522,118,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31894,49629.0,2007,3317,49512,11.2,233,84,55,320034.0,2007.0,61406.0,0.211,80.232,18.0,86.0,82.0,517.0,285.0,155.0,78.08,78.18,0.0,ACP,0.2,North Central,Urban Minor Arterial,1/1/1964 0:00:00,,RECONSTR EXISTING ALIGN,TA,BST CLASS A CRS-2 TACK,0.02,0.0,,0.0,0.0,1964.0,2013.0,30939.0,1965.0,2014.0,0.22,0.0,1.05,0.55,ACP,ACP,ACP,ACP,1998.0,ACP,0.02,1.05,0.55,Other,2793.91002846,-7.96899991035,32.5850000382,164602.682678,218.0
31908,49622.0,2008,4322,53765,12.46,433,86,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31910,49628.0,2008,6167,49950,7.53,337,113,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31911,49629.0,2008,3254,43581,11.3,233,119,16,337230.0,2008.0,61406.0,0.219,80.15,71.0,86.0,81.0,,371.0,155.0,78.08,78.18,0.0,ACP,0.2,North Central,Urban Minor Arterial,1/1/1964 0:00:00,,RECONSTR EXISTING ALIGN,TA,BST CLASS A CRS-2 TACK,0.02,0.0,,0.0,0.0,1964.0,2013.0,30939.0,1965.0,2014.0,0.22,0.0,1.05,0.55,ACP,ACP,ACP,ACP,1998.0,ACP,0.02,1.05,0.55,Other,3056.83004189,-7.9709089886,32.4599999515,185089.665258,235.0
31925,49622.0,2009,4375,54422,12.46,438,88,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31927,49628.0,2009,6242,50242,7.53,341,115,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31928,49629.0,2009,3294,44238,11.3,236,120,16,354931.0,2009.0,61406.0,0.262,84.17,30.0,85.0,77.0,,1376.8,155.0,78.08,78.18,0.0,ACP,0.2,North Central,Urban Minor Arterial,1/1/1964 0:00:00,,RECONSTR EXISTING ALIGN,TA,BST CLASS A CRS-2 TACK,0.02,0.0,,0.0,0.0,1964.0,2013.0,30939.0,1965.0,2014.0,0.22,0.0,1.05,0.55,ACP,ACP,ACP,ACP,1998.0,ACP,0.02,1.05,0.55,Other,3414.49004555,-7.98999989033,32.3324999809,206718.175663,255.0
31929,49630.0,2009,3762,50498,11.3,269,137,19,354973.0,2009.0,61969.0,0.275,99.87,41.0,82.0,75.0,,1030.0,155.0,78.18,78.28,0.0,ACP,0.2,North Central,Urban Minor Arterial,9/1/1986 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.3,0.0,,0.0,0.0,1986.0,2013.0,33726.0,1965.0,2014.0,0.14,0.0,1.2,0.7,ACP,ACP,ACP,ACP,1998.0,ACP,0.3,1.2,0.7,BA,3414.49004555,-7.98999989033,32.3324999809,225339.448347,255.0
31930,49631.0,2009,4229,57177,11.3,302,154,21,354946.0,2009.0,61586.0,0.225,139.365,66.0,72.0,81.0,,312.0,155.0,78.28,78.35,0.0,ACP,0.14,North Central,Urban Minor Arterial,6/1/1965 0:00:00,,"CI, CO, FED ROAD PROJECT",TA,BST CLASS A CRS-2 TACK,0.02,0.0,,0.0,0.0,1965.0,2013.0,37490.0,1965.0,2014.0,0.16,0.0,1.43,0.51,ACP,ACP over BST (Mixed),BST,ACP,1998.0,ACP,0.02,1.43,0.51,Other,3414.49004555,-7.98999989033,32.3324999809,250488.522758,255.0
31942,49622.0,2010,4120,40679,10.06,326,82,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31944,49628.0,2010,5793,24546,4.1,180,52,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31945,49629.0,2010,3111,20823,6.12,134,51,6,373460.0,2010.0,61406.0,0.288,86.8,0.0,85.0,74.0,901.2,,155.0,78.08,78.18,0.0,ACP,0.2,North Central,Urban Minor Arterial,1/1/1964 0:00:00,,RECONSTR EXISTING ALIGN,TA,BST CLASS A CRS-2 TACK,0.02,0.0,,0.0,0.0,1964.0,2013.0,30939.0,1965.0,2014.0,0.22,0.0,1.05,0.55,ACP,ACP,ACP,ACP,1998.0,ACP,0.02,1.05,0.55,Other,3747.89003944,-8.13999986648,32.0415383853,228833.95851,283.0
31946,49630.0,2010,3747,25696,6.12,161,61,7,373564.0,2010.0,61969.0,0.236,114.5,27.0,78.0,79.0,460.5,129.0,155.0,78.18,78.28,0.0,ACP,0.2,North Central,Urban Minor Arterial,9/1/1986 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.3,0.0,,0.0,0.0,1986.0,2013.0,33726.0,1965.0,2014.0,0.14,0.0,1.2,0.7,ACP,ACP,ACP,ACP,1998.0,ACP,0.3,1.2,0.7,BA,3747.89003944,-8.13999986648,32.0415383853,249447.431549,283.0
31947,49631.0,2010,4382,29419,6.12,188,71,8,373490.0,2010.0,61586.0,0.174,135.0,68.0,73.0,86.0,64.0,148.0,155.0,78.28,78.35,0.0,ACP,0.14,North Central,Urban Minor Arterial,6/1/1965 0:00:00,,"CI, CO, FED ROAD PROJECT",TA,BST CLASS A CRS-2 TACK,0.02,0.0,,0.0,0.0,1965.0,2013.0,37490.0,1965.0,2014.0,0.16,0.0,1.43,0.51,ACP,ACP over BST (Mixed),BST,ACP,1998.0,ACP,0.02,1.43,0.51,Other,3747.89003944,-8.13999986648,32.0415383853,277287.084409,283.0
31959,49622.0,2011,4050,39876,10.06,320,81,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31961,49628.0,2011,5695,24254,4.1,177,51,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31962,49629.0,2011,3058,20677,6.12,131,50,6,387975.0,2011.0,61406.0,0.296,88.05,76.0,84.0,73.0,,278.0,155.0,78.08,78.18,0.0,ACP,0.2,North Central,Urban Minor Arterial,1/1/1964 0:00:00,,RECONSTR EXISTING ALIGN,TA,BST CLASS A CRS-2 TACK,0.02,0.0,,0.0,0.0,1964.0,2013.0,30939.0,1965.0,2014.0,0.22,0.0,1.05,0.55,ACP,ACP,ACP,ACP,1998.0,ACP,0.02,1.05,0.55,Other,4066.72002602,-7.83214272772,32.185714313,251507.566373,295.0
31963,49630.0,2011,3683,24400,6.12,158,60,7,387993.0,2011.0,61969.0,0.277,116.9,73.0,78.0,75.0,,330.0,155.0,78.18,78.28,0.0,ACP,0.2,North Central,Urban Minor Arterial,9/1/1986 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.3,0.0,,0.0,0.0,1986.0,2013.0,33726.0,1965.0,2014.0,0.14,0.0,1.2,0.7,ACP,ACP,ACP,ACP,1998.0,ACP,0.3,1.2,0.7,BA,4066.72002602,-7.83214272772,32.185714313,274163.488914,295.0
31964,49631.0,2011,4308,28908,6.12,185,70,8,387979.0,2011.0,61586.0,0.205,128.0,100.0,75.0,83.0,,,155.0,78.28,78.35,0.0,ACP,0.14,North Central,Urban Minor Arterial,6/1/1965 0:00:00,,"CI, CO, FED ROAD PROJECT",TA,BST CLASS A CRS-2 TACK,0.02,0.0,,0.0,0.0,1965.0,2013.0,37490.0,1965.0,2014.0,0.16,0.0,1.43,0.51,ACP,ACP over BST (Mixed),BST,ACP,1998.0,ACP,0.02,1.43,0.51,Other,4066.72002602,-7.83214272772,32.185714313,304761.584515,295.0
31975,49622.0,2012,4025,39730,10.06,318,80,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31977,49628.0,2012,5660,23889,4.1,175,51,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31978,49629.0,2012,3039,20531,6.12,131,50,6,401786.0,2012.0,61406.0,0.287,88.61,0.0,84.0,74.0,52.0,,155.0,78.08,78.18,0.0,ACP,0.2,North Central,Urban Minor Arterial,1/1/1964 0:00:00,,RECONSTR EXISTING ALIGN,TA,BST CLASS A CRS-2 TACK,0.02,0.0,,0.0,0.0,1964.0,2013.0,30939.0,1965.0,2014.0,0.22,0.0,1.05,0.55,ACP,ACP,ACP,ACP,1998.0,ACP,0.02,1.05,0.55,Other,4478.88002968,-7.60399986903,32.1093334198,274619.020484,310.0
31979,49630.0,2012,3660,24400,6.12,157,60,7,401807.0,2012.0,61969.0,0.3,116.79,0.0,78.0,73.0,322.0,716.4,155.0,78.18,78.28,0.0,ACP,0.2,North Central,Urban Minor Arterial,9/1/1986 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.3,0.0,,0.0,0.0,1986.0,2013.0,33726.0,1965.0,2014.0,0.14,0.0,1.2,0.7,ACP,ACP,ACP,ACP,1998.0,ACP,0.3,1.2,0.7,BA,4478.88002968,-7.60399986903,32.1093334198,299356.833926,310.0
